model - 1577686734,1577686745.881,0.7,0.1842,0.73,0.1674
model - 1577686734,1577686745.911,0.69,0.1867,0.79,0.1597
model - 1577686734,1577686745.949,0.66,0.2121,0.69,0.2084
model - 1577686734,1577686745.982,0.67,0.1967,0.77,0.1784
model - 1577686734,1577686746.009,0.58,0.2587,0.74,0.179
model - 1577686734,1577686746.033,0.72,0.1851,0.75,0.167
model - 1577686734,1577686746.063,0.69,0.1983,0.65,0.2015
model - 1577686734,1577686746.088,0.67,0.1917,0.74,0.1693
model - 1577686734,1577686746.112,0.77,0.1666,0.7,0.2135
model - 1577686734,1577686746.137,0.77,0.1544,0.74,0.1817
model - 1577686734,1577686746.165,0.72,0.1845,0.76,0.1673
model - 1577686734,1577686746.191,0.71,0.1937,0.75,0.1734
model - 1577686734,1577686746.215,0.77,0.1722,0.74,0.1846
model - 1577686734,1577686746.24,0.71,0.1925,0.69,0.2033
